	Id	ID Number	Class	Tract	Name	Owner	BridgeType	Width	NumSpans	Length	MaxSpanLength	SkewAngle	SeatLength	SeatWidth	YearBuilt	YearRemodeled	PierType	FoundationType	ScourIndex	Traffic	TrafficIndex	Condition	Replacement Cost (thous. $)	Latitude	Longitude	Comment	Shape	SoilType	LqfSusCat	LndSusCat	WaterDepth
	CA011136	CA011136	HWB3	06085509902	STATE ROUTE 82	State Highway Agency	11100014	30.100	1	17	13.000	99.000			1907		N000000000		8	44700	 	776	$978.17	37.378330	-122.071670			D	0	0	5.000
	CA011137	CA011137	HWB28	06085510700	STATE ROUTE 82	State Highway Agency	11100014	36.600	1	13	6.000	30.000					N000000000		8	45400	 	677	$909.54	37.410000	-122.121670			D	0	0	5.000
	CA011138	CA011138	HWB3	06085510900	STATE ROUTE 82	State Highway Agency	10400014	36.600	1	8	9.000	99.000			1930		N000000000		8	45400	 	357	$559.72	37.425000	-122.131670			D	0	0	5.000
	CA011140	CA011140	HWB3	06085503710	STATE ROUTE 130	State Highway Agency	10100014	30.500	1	8	8.000	12.000			1958		N000000000		8	31800	 	777	$466.43	37.355000	-121.848330			D	0	0	5.000
	CA011141	CA011141	HWB10	06085512602	STATE ROUTE 152	State Highway Agency	20100014	14.000	3	29	12.000	0.000			1958		N000000000		5	20800	 	777	$776.11	37.003330	-121.533330			D	0	0	5.000
	CA011142	CA011142	HWB28	06085512602	STATE ROUTE 152	State Highway Agency	11900002	14.200	2	6	3.000	0.000			1948		N000000000		8	19300	 	NNN	$162.87	37.003330	-121.520000			D	0	0	5.000
	CA011143	CA011143	HWB4	06085512602	STATE ROUTE 152	State Highway Agency	20100002	14.000	1	11	11.000	19.000			1990		N000000000		8	19300	 	677	$294.39	37.006670	-121.516670			D	0	0	5.000
	CA011144	CA011144	HWB4	06085512602	STATE ROUTE 152	State Highway Agency	50100002	14.000	1	14	12.000	45.000			1993		N000000000		8	16000	 	777	$374.67	37.000000	-121.503330			D	0	0	5.000
	CA011145	CA011145	HWB28	06085513500	STATE ROUTE 152	State Highway Agency	11900002	13.900	2	13	4.000	45.000			1993		N000000000		8	15300	 	NNN	$345.43	36.973330	-121.423330			D	0	0	5.000
	CA011146	CA011146	HWB13	06085507001	STATE ROUTE 17	State Highway Agency	30200002	17.700	37	282	8.000	0.000			1940		N000000000		N	63300	 	777	$9,541.56	37.210000	-121.986670			D	0	0	5.000
	CA011147	CA011147	HWB11	06085513500	STATE ROUTE 152	State Highway Agency	20500002	12.700	3	43	18.000	99.000			1990		N000000000		8	11100	 	477	$1,043.92	37.031670	-121.323330			D	0	0	5.000
	CA011148	CA011148	HWB11	06085513500	STATE ROUTE 152	State Highway Agency	20500002	12.700	3	43	18.000	99.000			1990		N000000000		8	11100	 	477	$1,043.92	37.031670	-121.323330			D	0	0	5.000
	CA011149	CA011149	HWB10	06085513500	STATE ROUTE 152	State Highway Agency	20400002	22.400	5	65	21.000	35.000			1939		N000000000		7	22200	 	357	$2,783.29	37.045000	-121.288330			D	0	0	5.000
	CA011150	CA011150	HWB10	06085513500	STATE ROUTE 152	State Highway Agency	20400002	22.400	4	41	18.000	0.000			1939		N000000000		8	22200	 	677	$1,755.61	37.046670	-121.283330			D	0	0	5.000
	CA011151	CA011151	HWB6	06085504601	U.S. HIGHWAY 101	State Highway Agency	10400012	49.300	2	16	9.000	26.000			1932		N000000000		8	176500	 	677	$1,507.87	37.408330	-122.065000			D	0	0	5.000
	CA011152	CA011152	HWB10	06085505006	U.S. HIGHWAY 101	State Highway Agency	20400012	50.400	4	43	12.000	0.000			1937		N000000000		6	165800	 	577	$4,142.82	37.375000	-121.931670			D	0	0	5.000
	CA011153	CA011153	HWB10	06085503601	U.S. HIGHWAY 101	State Highway Agency	20400012	44.700	6	61	13.000	30.000			1939		N000000000		3	159400	 	656	$5,212.36	37.360000	-121.871670			D	0	0	5.000
	CA011154	CA011154	HWB18	06085504601	U.S. HIGHWAY 101	State Highway Agency	50100012	40.700	2	25	13.000	0.000			1960		N000000000		8	181600	 	667	$1,945.05	37.438330	-122.111670			D	0	0	5.000
	CA011155	CA011155	HWB10	06085505001	U.S. HIGHWAY 101	State Highway Agency	20100012	50.700	3	28	9.000	20.000			1961		N000000000		8	165800	 	577	$2,713.71	37.383330	-121.966670			D	0	0	5.000
	CA011156	CA011156	HWB28	06085507001	STATE ROUTE 17	State Highway Agency	11900012	23.400	2	26	6.000	62.000			1955		N000000000		8	65500	 	NNN	$1,163.02	37.220000	-121.981670			D	0	0	5.000
	CA011157	CA011157	HWB10	06085512200	STATE ROUTE 152	State Highway Agency	20100007	10.500	3	27	11.000	6.000			1957		N000000000		8	5340	 	576	$541.94	37.013330	-121.631670			D	0	0	5.000
	CA011158	CA011158	HWB10	06085512200	STATE ROUTE 152	State Highway Agency	20400007	10.500	4	76	20.000	45.000			1957		N000000000		3	5340	 	675	$1,525.46	37.013330	-121.628330			D	0	0	5.000
	CA011159	CA011159	HWB23	06085503602	STATE ROUTE 130	State Highway Agency	60500014	32.600	2	71	36.000	6.000			1993		H050800000		N	31800	 	787	$4,424.59	37.350000	-121.860000			D	0	0	5.000
	CA011166	CA011166	HWB13	06085502101	N280-S17 CONNECTOR	State Highway Agency	30200011	12.500	10	356	48.000	99.000			1971		H050000000		N	29500	 	566	$8,506.62	37.316670	-121.938330			D	0	0	5.000
	CA011167	CA011167	HWB10	06085511800	STATE ROUTE 17	State Highway Agency	20400002	18.000	3	41	15.000	0.000			1938		H062700000		N	63300	 	777	$1,410.76	37.155000	-121.973330			D	0	0	5.000
	CA011170	CA011170	HWB10	06085505006	INTERSTATE 880 SB	State Highway Agency	20400012	10.200	9	154	18.000	40.000			1952		H045000000		3	60000	 	165	$3,002.74	37.383330	-121.905000			D	0	0	5.000
	CA011172	CA011172	HWB10	06085505006	INTERSTATE 880 NB	State Highway Agency	20400011	9.800	8	143	18.000	40.000			1952		H045200000		3	60000	 	165	$2,678.92	37.383330	-121.905000			D	0	0	5.000
	CA011174	CA011174	HWB10	06085509108	U.S. HIGHWAY 101	State Highway Agency	20400012	41.700	4	59	18.000	25.000			1961		H072400000		N	176500	 	277	$4,703.11	37.403330	-122.048330			D	0	0	5.000
	CA011176	CA011176	HWB3	06085511707	STATE ROUTE 9	State Highway Agency	10400007	10.100	1	17	17.000	0.000			1924		N000000000		8	4750	 	767	$328.22	37.255000	-122.088330			D	0	0	5.000
	CA011177	CA011177	HWB28	06085511707	STATE ROUTE 9	State Highway Agency	11100007	7.800	2	50	18.000	0.000			1902		N000000000		5	4750	 	746	$745.52	37.248330	-122.070000			D	0	0	5.000
	CA011178	CA011178	HWB11	06085511707	STATE ROUTE 9	State Highway Agency	20500007	13.300	3	67	30.000	99.000			1995		N000000000		8	5700	 	777	$1,703.43	37.251780	-122.061500			D	0	0	5.000
	CA011179	CA011179	HWB3	06085507302	STATE ROUTE 9	State Highway Agency	10400016	9.100	1	8	8.000	40.000			1917		N000000000		8	9600	 	755	$139.16	37.253330	-122.040000			D	0	0	5.000
	CA011182	CA011182	HWB3	06085509105	STATE ROUTE 237	State Highway Agency	50220412	13.000	1	129	25.000	29.000			1964		R072600000		N	31000	 	567	$3,205.75	37.386670	-122.056670			D	0	0	5.000
	CA011185	CA011185	HWB4	06085509105	STATE ROUTE 237	State Highway Agency	60220512	12.300	1	129	26.000	29.000			1981		R072900000		N	31000	 	787	$3,033.14	37.386670	-122.056670			D	0	0	5.000
	CA011186	CA011186	HWB11	06085505006	ON-RAMP(WB SR 237)	State Highway Agency	20560517	15.500	3	127	48.000	99.000			2000		N041000000		 	6000	 	787	$3,762.98	37.422240	-121.926720			D	0	0	5.000
	CA011187	CA011187	HWB10	06085504602	STATE ROUTE 237	State Highway Agency	20400012	19.700	3	59	24.000	55.000			1961		N039300000		8	44750	 	667	$2,221.85	37.423330	-121.925000			D	0	0	5.000
	CA011188	CA011188	HWB10	06085504602	STATE ROUTE 237	State Highway Agency	20400012	21.200	3	59	24.000	57.000			1972		N038300000		8	44750	 	677	$2,391.03	37.423330	-121.925000			D	0	0	5.000
	CA011189	CA011189	HWB23	06085505006	EB SR 237 OFF-RMP	State Highway Agency	60560517	11.700	3	81	31.000	99.000			2000		N050000000		 	2000	 	787	$1,811.62	37.422240	-121.926720			D	0	0	5.000
	CA011190	CA011190	HWB10	06085511609	UNIVERSITY AVENUE	State Highway Agency	20100016	28.300	4	44	14.000	23.000			1940		H047400000		N	24900	 	366	$2,380.32	37.443330	-122.165000			D	0	0	5.000
	CA011192	CA011192	HWB10	06085513500	STATE ROUTE 130	State Highway Agency	20400007	5.600	3	26	9.000	0.000			1918		N000000000		2	200	 	233	$278.33	37.321670	-121.666670			D	0	0	5.000
	CA011196	CA011196	HWB18	06085503211	TULLY ROAD	State Highway Agency	50200014	27.000	4	95	24.000	3.000			1962		H045700000		N	0	 	577	$4,903.25	37.318330	-121.831670			D	0	0	5.000
	CA011197	CA011197	HWB10	06085503601	U.S. HIGHWAY 101	State Highway Agency	20100012	47.700	3	19	6.000	12.000			1957		N000000000		7	147400	 	577	$1,732.48	37.356670	-121.868330			D	0	0	5.000
	CA011198	CA011198	HWB10	06085502101	MAC ARTHUR AVENUE	State Highway Agency	20500019	16.500	3	83	31.000	15.000			1972		H053600000		N	4500	 	777	$2,617.94	37.316670	-121.935000			D	0	0	5.000
	CA011200	CA011200	HWB18	06085503116	CAPITOL EXPRESSWAY	County Highway Agency	50210414	34.100	3	94	24.000	0.000			1966		R068800000		N	0	 	687	$6,127.44	37.280000	-121.853330			D	0	0	5.000
	CA011202	CA011202	HWB13	06085512001	STATE ROUTE 101	State Highway Agency	30200012	21.900	4	124	31.000	35.000			1947		N000000000		5	59350	 	577	$5,191.14	37.278330	-121.805000			D	0	0	5.000
	CA011203	CA011203	HWB13	06085512001	STATE ROUTE 101	State Highway Agency	30200012	21.900	4	124	31.000	35.000			1947		N000000000		5	59350	 	577	$5,191.14	37.278330	-121.805000			D	0	0	5.000
	CA011204	CA011204	HWB18	06085504700	MOFFETT BOULEVARD	State Highway Agency	50200014	20.700	2	50	24.000	5.000			1957		H046000000		N	15000	 	757	$1,978.51	37.406670	-122.061670			D	0	0	5.000
	CA011206	CA011206	HWB15	06085512001	US HIGHWAY 101(SB)	State Highway Agency	40200012	21.900	3	40	16.000	45.000			1947		H045400000		N	59350	 	467	$1,674.56	37.276670	-121.805000			D	0	0	5.000
	CA011208	CA011208	HWB15	06085512001	STATE ROUTE 101 NB	State Highway Agency	40200012	21.900	3	40	16.000	45.000			1947		H051600000		N	59350	 	467	$1,674.56	37.276670	-121.805000			D	0	0	5.000
	CA011210	CA011210	HWB22	06085504504	STATE ROUTE 237	State Highway Agency	60500012	19.700	2	96	48.000	4.000			1972		H051600000		N	44750	 	587	$3,615.22	37.425000	-121.915000			D	0	0	5.000
	CA011212	CA011212	HWB18	06085504504	STATE ROUTE 237	State Highway Agency	50500012	15.200	2	96	48.000	4.000			1972		H050800000		N	44750	 	687	$2,789.41	37.425000	-121.915000			D	0	0	5.000
	CA011214	CA011214	HWB10	06085504506	DIXON ROAD	State Highway Agency	20100017	9.100	2	34	17.000	4.000			1953		H043700000		N	20000	 	777	$591.45	37.455000	-121.921670			D	0	0	5.000
	CA011216	CA011216	HWB10	06085504506	INTERSTATE 880	State Highway Agency	20100012	33.200	5	29	6.000	10.000			1953		N000000000		8	124400	 	777	$1,840.49	37.453330	-121.921670			D	0	0	5.000
	CA011217	CA011217	HWB23	06085500100	EAST HEDDING ST	State Highway Agency	60500014	25.900	2	63	31.000	8.000			1993		H055100000		N	4000	 	687	$3,119.16	37.361670	-121.886670			D	0	0	5.000
	CA011219	CA011219	HWB23	06085504318	OAKLAND ROAD	State Highway Agency	60500014	30.800	2	70	38.000	12.000			1993		H054900000		N	4000	 	687	$4,121.41	37.363330	-121.890000			D	0	0	5.000
	CA011221	CA011221	HWB13	06085505006	US 101	State Highway Agency	30200012	49.300	4	65	22.000	43.000			1960		H045200000		N	151700	 	667	$6,125.72	37.373330	-121.915000			D	0	0	5.000
	CA011223	CA011223	HWB6	06085507001	MAIN STREET	State Highway Agency	10510116	23.700	2	59	25.000	11.000			1955		H046700000		N	0	 	477	$2,672.99	37.221670	-121.981670			D	0	0	5.000
	CA011225	CA011225	HWB23	06085500100	10TH STREET	State Highway Agency	60500019	20.200	4	120	43.000	37.000			1993		H045700000		N	8000	 	587	$4,633.72	37.363330	-121.896670			D	0	0	5.000
	CA011227	CA011227	HWB23	06085505006	I 880	State Highway Agency	60500012	49.400	4	113	37.000	2.000			1997		H050300000		N	138000	 	787	$10,670.93	37.365000	-121.901670			D	0	0	5.000
	CA011229	CA011229	HWB13	06085505006	INTERSTATE 880	State Highway Agency	30200012	35.700	3	59	27.000	22.000			1960		H054900000		N	135700	 	577	$4,026.40	37.368330	-121.901670			D	0	0	5.000
	CA011231	CA011231	HWB23	06085504318	TAYLOR STREET	State Highway Agency	60500014	22.600	2	84	43.000	15.000			1992		H052600000		N	4000	 	787	$3,628.98	37.361670	-121.878330			D	0	0	5.000
	CA011233	CA011233	HWB23	06085503601	MCKEE ROAD	State Highway Agency	60500014	25.000	2	84	44.000	10.000			1993		H055600000		N	4000	 	787	$4,014.36	37.355000	-121.865000			D	0	0	5.000
	CA011235	CA011235	HWB10	06085507001	SANTA CRUZ AVE	State Highway Agency	20520112	9.800	4	165	34.000	0.000			1956		H041900000		N	32750	 	777	$3,091.06	37.218330	-121.988330			D	0	0	5.000
	CA011237	CA011237	HWB3	06085500500	INTERSTATE 880	State Highway Agency	10510411	35.900	1	42	19.000	16.000			1959		H045200000		N	135700	 	777	$2,882.31	37.330000	-121.938330			D	0	0	5.000
	CA011239	CA011239	HWB6	06085500500	INTERSTATE 880	State Highway Agency	10400011	33.900	4	50	13.000	19.000			1959		H046000000		N	135700	 	577	$3,240.16	37.335000	-121.935000			D	0	0	5.000
	CA011241	CA011241	HWB10	06085505203	PARK AVE	State Highway Agency	20510417	17.400	2	48	17.000	2.000			1960		H046000000		N	0	 	677	$1,596.57	37.340000	-121.930000			D	0	0	5.000
	CA011243	CA011243	HWB10	06085500400	STATE ROUTE 82	State Highway Agency	20520414	28.700	2	61	21.000	17.000			1960		H046200000		N	16600	 	377	$3,346.64	37.341670	-121.926670			D	0	0	5.000
	CA011245	CA011245	HWB4	06085500400	INTERSTATE 880	State Highway Agency	50260511	43.000	1	65	38.000	12.000			1992		R069900000		N	135700	 	787	$5,342.92	37.345000	-121.921670			D	0	0	5.000
	CA011246	CA011246	HWB10	06085500300	COLEMAN ST	State Highway Agency	20400016	18.300	3	70	21.000	5.000			1960		H046000000		N	0	 	677	$2,448.76	37.348330	-121.916670			D	0	0	5.000
	CA011248	CA011248	HWB15	06085502101	STATE ROUTE 17	State Highway Agency	40200012	39.400	2	59	30.000	8.000			1971		H051300000		N	175500	 	767	$4,443.71	37.316670	-121.940000			D	0	0	5.000
	CA011250	CA011250	HWB15	06085502101	S17-S280 CONNECTOR	State Highway Agency	40200012	10.400	2	59	31.000	8.000			1971		H055400000		N	16300	 	667	$1,172.96	37.316670	-121.940000			D	0	0	5.000
	CA011252	CA011252	HWB15	06085502101	N17-N280 CONNECTOR	State Highway Agency	40200012	8.900	2	59	30.000	9.000			1971		H054400000		N	33500	 	767	$1,003.78	37.316670	-121.940000			D	0	0	5.000
	CA011254	CA011254	HWB10	06085502001	STEVENS CREEK BLVD	State Highway Agency	20510514	29.000	2	95	25.000	7.000			1959		H046700000		N	0	 	477	$5,266.46	37.323330	-121.938330			D	0	0	5.000
	CA011256	CA011256	HWB3	06085502604	STATE ROUTE 17	State Highway Agency	30210412	42.900	1	41	20.000	19.000			1959		H047000000		N	138900	 	767	$3,362.31	37.286670	-121.936670			D	0	0	5.000
	CA011258	CA011258	HWB10	06085506502	STATE ROUTE 17	State Highway Agency	20400012	45.800	3	40	15.000	16.000			1959		N000000000		6	138900	 	777	$3,502.05	37.290000	-121.936670			D	0	0	5.000
	CA011259	CA011259	HWB10	06085502604	HAMILTON AVE	State Highway Agency	20510416	29.100	2	68	23.000	22.000			1959		H045700000		N	18000	 	577	$3,782.67	37.293330	-121.936670			D	0	0	5.000
	CA011261	CA011261	HWB10	06085507100	STATE ROUTE 9	State Highway Agency	20400014	25.200	3	40	20.000	8.000			1956		N000000000		8	32600	 	377	$1,926.89	37.226670	-121.975000			D	0	0	5.000
	CA011262	CA011262	HWB3	06085502001	STATE ROUTE 17	State Highway Agency	30210412	44.300	1	40	20.000	7.000			1959		H045200000		N	175500	 	767	$3,387.36	37.318330	-121.938330			D	0	0	5.000
	CA011264	CA011264	HWB3	06085502001	NB 17/SB 280 CONN	State Highway Agency	30200012	12.500	1	24	22.000	22.000			1971		H047200000		N	19300	 	657	$573.48	37.318330	-121.938330			D	0	0	5.000
	CA011266	CA011266	HWB13	06085500200	INTERSTATE 880	State Highway Agency	30210411	35.900	2	52	17.000	20.000			1960		H046700000		N	135700	 	767	$3,568.57	37.360000	-121.905000			D	0	0	5.000
	CA011268	CA011268	HWB13	06085500100	INTERSTATE 880	State Highway Agency	30200011	33.500	3	41	22.000	20.000			1960		H046500000		N	135700	 	567	$2,625.58	37.361670	-121.901670			D	0	0	5.000
	CA011270	CA011270	HWB18	06085503110	STORY ROAD	State Highway Agency	50200014	39.000	4	99	25.000	0.000			1967		H047800000		N	0	 	487	$7,380.69	37.335000	-121.848330			D	0	0	5.000
	CA011272	CA011272	HWB18	06085504601	NB RENGSTORFF AVE	State Highway Agency	50210414	11.200	2	76	26.000	19.000			1961		H045700000		N	7000	 	487	$1,627.15	37.421670	-122.091670			D	0	0	5.000
	CA011274	CA011274	HWB10	06085507001	STATE ROUTE 9	State Highway Agency	20400014	21.600	4	60	19.000	14.000			1957		H045400000		N	32600	 	767	$2,477.43	37.226670	-121.973330			D	0	0	5.000
	CA011276	CA011276	HWB3	06085509304	SAN ANTONIO ROAD	State Highway Agency	50410414	11.200	1	85	36.000	30.000			1960		H045700000		N	7000	 	677	$1,819.84	37.426670	-122.100000			D	0	0	5.000
	CA011278	CA011278	HWB15	06085502604	STATE ROUTE 17	State Highway Agency	40500012	49.700	2	69	36.000	34.000			1971		H048000000		N	138900	 	767	$6,555.45	37.271670	-121.946670			D	0	0	5.000
	CA011280	CA011280	HWB10	06085507001	BLOSSOM HILL ROAD	State Highway Agency	20400014	12.600	4	63	20.000	31.000			1959		H046200000		N	0	 	777	$1,517.43	37.233330	-121.970000			D	0	0	5.000
	CA011282	CA011282	HWB22	06085504601	OREGON EXPRESSWAY	State Highway Agency	60200014	14.800	4	94	27.000	5.000			1965		H047800000		N	8000	 	487	$2,659.42	37.445000	-122.118330			D	0	0	5.000
	CA011284	CA011284	HWB3	06085504601	EMBARCADERO ROAD	State Highway Agency	50210414	20.100	1	90	23.000	99.000			1960		H046500000		N	16000	 	377	$3,458.08	37.445000	-122.118330			D	0	0	5.000
	CA011286	CA011286	HWB23	06085506801	LARK AVENUE	State Highway Agency	60500019	29.200	2	80	41.000	8.000			1994		H053800000		N	12000	 	687	$4,465.50	37.250000	-121.956670			D	0	0	5.000
	CA011288	CA011288	HWB19	06085504802	LAWRENCE EXPWY	State Highway Agency	50510514	39.600	2	80	40.000	17.000			1998		H054000000		 	8000	 	787	$6,055.95	37.391670	-121.995000			D	0	0	5.000
	CA011290	CA011290	HWB23	06085504601	N SHORELINE BLVD	State Highway Agency	60500014	35.300	2	115	57.000	27.000			1992		H054400000		N	16000	 	687	$7,760.14	37.411670	-122.075000			D	0	0	5.000
	CA011292	CA011292	HWB3	06085504601	N101-OLD MIDFLD OF	State Highway Agency	50210412	10.000	1	79	29.000	99.000			1960		H045200000		N	3000	 	767	$1,510.16	37.413330	-122.080000			D	0	0	5.000
	CA011294	CA011294	HWB10	06085504601	OREGON EXWY - S101	State Highway Agency	20400012	8.000	3	33	14.000	25.000			1965		H046500000		N	6300	 	477	$504.66	37.445000	-122.118330			D	0	0	5.000
	CA011296	CA011296	HWB10	06085512602	STATE ROUTE 25	State Highway Agency	20100006	13.300	4	50	13.000	25.000			1956		N000000000		6	15900	 	677	$1,271.21	36.960000	-121.533330			D	0	0	5.000
	CA011297	CA011297	HWB11	06085504602	AMERICAN PKWY-W237	State Highway Agency	20100012	8.400	5	62	13.000	20.000			1994		N000000000		8	4500	 	777	$995.56	37.415000	-121.980000			D	0	0	5.000
	CA011298	CA011298	HWB11	06085504602	STATE ROUTE 237 WB	State Highway Agency	20100012	18.100	5	61	13.000	17.000			1994		N000000000		8	44750	 	777	$2,110.60	37.415000	-121.980000			D	0	0	5.000
	CA011299	CA011299	HWB11	06085504602	STATE ROUTE 237 EB	State Highway Agency	20100012	18.100	5	61	13.000	17.000			1994		N000000000		8	44750	 	777	$2,110.60	37.415000	-121.980000			D	0	0	5.000
	CA011300	CA011300	HWB11	06085504602	E237-AMERICAN PKWY	State Highway Agency	20100012	8.400	5	60	12.000	15.000			1994		N000000000		8	0	 	777	$963.45	37.415000	-121.980000			D	0	0	5.000
	CA011301	CA011301	HWB6	06085504602	STATE ROUTE 237	State Highway Agency	10400012	16.500	7	42	6.000	0.000			1957		N000000000		N	44750	 	775	$1,324.74	37.418330	-121.971670			D	0	0	5.000
	CA011302	CA011302	HWB18	06085505202	SAN TOMAS EXPWY	State Highway Agency	50210216	38.900	2	87	25.000	2.000			1961		H046100000		N	54400	 	687	$6,469.43	37.381670	-121.963330			D	0	0	5.000
	CA011304	CA011304	HWB18	06085508900	FAIR OAKS AVENUE	State Highway Agency	50210414	19.500	2	71	25.000	1.000			1961		H046000000		N	5000	 	667	$2,646.61	37.395000	-122.011670			D	0	0	5.000
	CA011306	CA011306	HWB18	06085505007	LAFAYETTE ST (NB)	State Highway Agency	50210414	12.300	2	67	23.000	99.000			1961		H046900000		N	6000	 	657	$1,575.35	37.378330	-121.948330			D	0	0	5.000
	CA011308	CA011308	HWB11	06085504602	STATE ROUTE 237	State Highway Agency	20100012	43.100	3	39	13.000	22.000			1994		N000000000		8	89500	 	777	$3,213.21	37.413330	-121.985000			D	0	0	5.000
	CA011309	CA011309	HWB3	06085502001	INTERSTATE 880	State Highway Agency	10510412	34.200	1	40	18.000	2.000			1959		H048300000		N	135700	 	777	$2,615.07	37.326670	-121.938330			D	0	0	5.000
	CA011311	CA011311	HWB3	06085504601	U.S. HIGHWAY 101	State Highway Agency	50400012	40.700	1	20	19.000	0.000			1960		N000000000		8	181600	 	787	$1,556.04	37.431670	-122.103330			D	0	0	5.000
	CA011312	CA011312	HWB13	06085500200	INTERSTATE 880	State Highway Agency	30200011	34.900	2	62	31.000	20.000			1960		N000000000		7	135700	 	567	$4,136.32	37.355000	-121.910000			D	0	0	5.000
	CA011313	CA011313	HWB18	06085509000	MATHILDA AVENUE	State Highway Agency	50210414	28.600	2	74	25.000	3.000			1961		H045900000		N	8000	 	377	$4,045.71	37.398330	-122.026670			D	0	0	5.000
	CA011315	CA011315	HWB18	06085509102	STATE ROUTE 237	State Highway Agency	50210412	30.400	2	98	36.000	57.000			1959		H045700000		N	62000	 	477	$5,695.04	37.400000	-122.033330			D	0	0	5.000
	CA011317	CA011317	HWB18	06085504803	STATE ROUTE 237	State Highway Agency	50210112	27.000	2	56	24.000	26.000			1961		H044700000		N	62000	 	677	$2,890.34	37.403330	-122.025000			D	0	0	5.000
	CA011319	CA011319	HWB18	06085505007	DE LA CRUZ BLVD	State Highway Agency	50210414	22.600	2	72	25.000	12.000			1961		H046000000		N	8000	 	377	$3,110.56	37.378330	-121.941670			D	0	0	5.000
	CA011321	CA011321	HWB13	06085500200	GUADALUPE PARKWAY	State Highway Agency	30210417	10.000	2	56	18.000	18.000			1960		H046700000		N	0	 	767	$1,070.50	37.355000	-121.908330			D	0	0	5.000
	CA011323	CA011323	HWB13	06085500200	GUADALUPE PARKWAY	State Highway Agency	30210417	10.000	2	56	18.000	18.000			1960		H059200000		N	0	 	767	$1,070.50	37.355000	-121.908330			D	0	0	5.000
